epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.6854,2.72564,3.54846,3.53474,0.34589,0.47297,0.30717,0.12134,2.08247,2.44322,2.7739,0.00331395,0.00331395,0.00331395
2,111.159,1.63903,2.12146,2.28357,0.42403,0.53374,0.41701,0.2168,1.72119,2.08024,2.50676,0.00658148,0.00658148,0.00658148
3,165.578,1.2581,1.5423,1.81308,0.4168,0.46734,0.36031,0.18672,1.63843,2.8168,2.52052,0.009783,0.009783,0.009783
4,218.777,1.0366,1.14712,1.54709,0.67238,0.5797,0.64102,0.38183,1.43056,1.71186,2.23577,0.009703,0.009703,0.009703
5,272.009,0.91292,0.90437,1.40571,0.71889,0.70275,0.75734,0.49335,1.3476,1.74963,1.93429,0.009604,0.009604,0.009604
6,325.033,0.83543,0.78286,1.33025,0.73469,0.74948,0.7542,0.50144,1.24318,1.52266,1.90613,0.009505,0.009505,0.009505
7,377.905,0.79251,0.71323,1.28267,0.80074,0.75496,0.8388,0.56055,1.23884,1.11913,1.84646,0.009406,0.009406,0.009406
8,430.968,0.75438,0.65773,1.2477,0.76966,0.75669,0.84241,0.55985,1.22045,1.09893,1.83714,0.009307,0.009307,0.009307
9,484.215,0.73012,0.62701,1.22567,0.7417,0.72622,0.79445,0.54245,1.19031,1.09559,1.76862,0.009208,0.009208,0.009208
10,537.256,0.70317,0.59198,1.2013,0.8364,0.79416,0.87576,0.60452,1.19074,0.9163,1.78354,0.009109,0.009109,0.009109
11,590.113,0.68731,0.56955,1.18029,0.81555,0.76038,0.85223,0.59086,1.17197,0.90096,1.74767,0.00901,0.00901,0.00901
12,643.122,0.67586,0.55259,1.17504,0.82363,0.78416,0.87472,0.60113,1.20702,0.99119,1.80128,0.008911,0.008911,0.008911
13,696.04,0.66077,0.53631,1.16294,0.8629,0.78905,0.87529,0.60854,1.13837,0.83392,1.7319,0.008812,0.008812,0.008812
14,748.955,0.65112,0.52317,1.15116,0.83372,0.78299,0.88515,0.61198,1.15622,0.86992,1.73841,0.008713,0.008713,0.008713
15,801.756,0.64025,0.50713,1.1424,0.77494,0.79153,0.86131,0.60451,1.12651,1.04927,1.67525,0.008614,0.008614,0.008614
16,854.833,0.63251,0.4966,1.13377,0.86017,0.81576,0.911,0.65348,1.08179,0.7108,1.6905,0.008515,0.008515,0.008515
17,907.861,0.62404,0.48343,1.12634,0.85498,0.80325,0.88141,0.61541,1.14616,0.91239,1.7256,0.008416,0.008416,0.008416
18,961.041,0.61926,0.47959,1.12195,0.80853,0.80446,0.88059,0.60743,1.1539,0.97888,1.76126,0.008317,0.008317,0.008317
19,1014.03,0.61134,0.46914,1.113,0.85115,0.82862,0.90624,0.63516,1.13712,0.86629,1.69996,0.008218,0.008218,0.008218
20,1067.14,0.60567,0.45861,1.10815,0.85322,0.82292,0.89879,0.61955,1.13922,0.83243,1.71812,0.008119,0.008119,0.008119
21,1120.28,0.59806,0.44952,1.10282,0.83994,0.83766,0.91734,0.64689,1.11817,0.75948,1.71023,0.00802,0.00802,0.00802
22,1173.27,0.59794,0.4464,1.10068,0.82131,0.81209,0.89748,0.64141,1.09606,0.8226,1.66047,0.007921,0.007921,0.007921
23,1226.64,0.58728,0.43488,1.09367,0.8353,0.8137,0.88788,0.63392,1.10602,0.90475,1.65819,0.007822,0.007822,0.007822
24,1279.29,0.58469,0.43092,1.09092,0.8491,0.83392,0.90313,0.63802,1.10522,0.80658,1.68569,0.007723,0.007723,0.007723
25,1332.11,0.57676,0.42065,1.08555,0.85524,0.83405,0.9032,0.63778,1.10305,0.77247,1.66036,0.007624,0.007624,0.007624
26,1385.11,0.57108,0.41863,1.0786,0.83863,0.83353,0.89914,0.64505,1.08786,0.88265,1.66487,0.007525,0.007525,0.007525
27,1437.89,0.56851,0.41102,1.07338,0.84845,0.80436,0.8959,0.63869,1.09995,0.90938,1.68669,0.007426,0.007426,0.007426
28,1491,0.56598,0.40998,1.075,0.8645,0.83194,0.90468,0.64405,1.08715,0.78041,1.67475,0.007327,0.007327,0.007327
29,1543.96,0.56611,0.40768,1.07177,0.85266,0.83697,0.90593,0.63464,1.11278,0.80758,1.6856,0.007228,0.007228,0.007228
30,1598.08,0.56204,0.40493,1.06699,0.84813,0.84186,0.90827,0.64881,1.09546,0.79328,1.65274,0.007129,0.007129,0.007129
31,1653.05,0.55477,0.3959,1.06269,0.86799,0.82707,0.91363,0.64259,1.12327,0.809,1.69221,0.00703,0.00703,0.00703
32,1708.61,0.55495,0.39212,1.06627,0.8557,0.84259,0.91319,0.65205,1.10358,0.87115,1.68436,0.006931,0.006931,0.006931
33,1762.35,0.55028,0.38732,1.05828,0.8787,0.843,0.91262,0.65594,1.08185,0.7436,1.65606,0.006832,0.006832,0.006832
34,1815.56,0.54848,0.38537,1.05559,0.88347,0.82448,0.91441,0.65265,1.10287,0.79132,1.66929,0.006733,0.006733,0.006733
35,1868.9,0.54592,0.38129,1.0579,0.88905,0.8478,0.92462,0.65837,1.0965,0.74587,1.67947,0.006634,0.006634,0.006634
36,1921.77,0.5415,0.37921,1.05248,0.86497,0.84389,0.91553,0.65085,1.10142,0.78884,1.67524,0.006535,0.006535,0.006535
37,1974.74,0.54028,0.37512,1.05011,0.8439,0.83223,0.89811,0.63709,1.10397,0.91282,1.68247,0.006436,0.006436,0.006436
38,2027.53,0.53483,0.37259,1.04548,0.85946,0.81714,0.90651,0.64142,1.1012,0.84736,1.68839,0.006337,0.006337,0.006337
39,2080.55,0.53696,0.37216,1.04603,0.87877,0.85778,0.92836,0.66686,1.09752,0.73598,1.66462,0.006238,0.006238,0.006238
40,2134.14,0.53492,0.37052,1.04531,0.85904,0.83422,0.90532,0.65452,1.079,0.78298,1.63375,0.006139,0.006139,0.006139
41,2186.81,0.53087,0.36622,1.04143,0.86816,0.83479,0.91882,0.66023,1.08131,0.79095,1.63535,0.00604,0.00604,0.00604
42,2239.8,0.5242,0.36255,1.03318,0.84868,0.83611,0.90783,0.6557,1.08369,0.78558,1.61121,0.005941,0.005941,0.005941
43,2292.38,0.52532,0.359,1.0388,0.8396,0.8413,0.90105,0.64886,1.09037,0.79202,1.63201,0.005842,0.005842,0.005842
44,2345.52,0.52308,0.35358,1.03342,0.8353,0.842,0.90174,0.65055,1.08124,0.81988,1.63062,0.005743,0.005743,0.005743
45,2398.79,0.51927,0.35446,1.03109,0.87358,0.8288,0.908,0.65394,1.08858,0.76671,1.63702,0.005644,0.005644,0.005644
46,2451.96,0.52176,0.35612,1.03245,0.88056,0.83606,0.91631,0.66666,1.07165,0.74874,1.6171,0.005545,0.005545,0.005545
47,2506.27,0.52015,0.3513,1.03273,0.86121,0.84635,0.90509,0.65242,1.08349,0.83484,1.63877,0.005446,0.005446,0.005446
48,2559.03,0.51702,0.34924,1.02757,0.85566,0.83929,0.91202,0.65881,1.08297,0.79043,1.62629,0.005347,0.005347,0.005347
49,2611.97,0.51218,0.34411,1.02334,0.85114,0.84249,0.91458,0.66278,1.08052,0.79849,1.62032,0.005248,0.005248,0.005248
50,2664.83,0.51159,0.3427,1.0224,0.83667,0.84021,0.90683,0.65584,1.09059,0.77112,1.63366,0.005149,0.005149,0.005149
51,2717.73,0.51012,0.33946,1.02188,0.84702,0.83536,0.90943,0.65831,1.07846,0.79319,1.62024,0.00505,0.00505,0.00505
52,2770.9,0.50506,0.33438,1.01922,0.85918,0.82434,0.91252,0.66035,1.08432,0.78309,1.63721,0.004951,0.004951,0.004951
53,2823.78,0.50786,0.3374,1.0258,0.84943,0.84095,0.91389,0.66297,1.07248,0.78967,1.62669,0.004852,0.004852,0.004852
54,2876.84,0.506,0.33354,1.01868,0.84625,0.82442,0.89836,0.64574,1.09184,0.86521,1.63383,0.004753,0.004753,0.004753
55,2929.7,0.49968,0.33233,1.01722,0.85263,0.84148,0.91107,0.6577,1.08476,0.80331,1.64216,0.004654,0.004654,0.004654
56,2982.61,0.49975,0.33153,1.01737,0.85499,0.84646,0.91551,0.66495,1.07315,0.78561,1.62962,0.004555,0.004555,0.004555
